Soal Pertanyaan,Label,Casefold,Tokenize,FreqDist,Stopwords,Stemmed
"Setelah bangsa Indonesia berhasil mencapai kemerdekaan pada tanggal 17 Agustus 1945 tidak berarti bangsa Indonesia terbebas dari penguasaan bangsa asing. Negara RI dibagi-bagi menjadi negara-negara bagian dan daerah-daerah otonom atau satuan kenegaraan oleh Belanda dengan tujuan memperkecil wilayah kekuasaan RI. Hal ini memicu timbulnya pertempuran di berbagai daerah di Indonesia, sebagai contohnya adalah pertempuran di Surabaya. Terjadinya pertempuran ini disebabkan karena Belanda ",C4,"setelah bangsa indonesia berhasil mencapai kemerdekaan pada tanggal 17 agustus 1945 tidak berarti bangsa indonesia terbebas dari penguasaan bangsa asing. negara ri dibagi-bagi menjadi negara-negara bagian dan daerah-daerah otonom atau satuan kenegaraan oleh belanda dengan tujuan memperkecil wilayah kekuasaan ri. hal ini memicu timbulnya pertempuran di berbagai daerah di indonesia, sebagai contohnya adalah pertempuran di surabaya. terjadinya pertempuran ini disebabkan karena belanda ","['setelah', 'bangsa', 'indonesia', 'berhasil', 'mencapai', 'kemerdekaan', 'pada', 'tanggal', '17', 'agustus', '1945', 'tidak', 'berarti', 'bangsa', 'indonesia', 'terbebas', 'dari', 'penguasaan', 'bangsa', 'asing', 'negara', 'ri', 'dibagibagi', 'menjadi', 'negaranegara', 'bagian', 'dan', 'daerahdaerah', 'otonom', 'atau', 'satuan', 'kenegaraan', 'oleh', 'belanda', 'dengan', 'tujuan', 'memperkecil', 'wilayah', 'kekuasaan', 'ri', 'hal', 'ini', 'memicu', 'timbulnya', 'pertempuran', 'di', 'berbagai', 'daerah', 'di', 'indonesia', 'sebagai', 'contohnya', 'adalah', 'pertempuran', 'di', 'surabaya', 'terjadinya', 'pertempuran', 'ini', 'disebabkan', 'karena', 'belanda']",<FreqDist with 51 samples and 62 outcomes>,"['bangsa', 'indonesia', 'berhasil', 'mencapai', 'kemerdekaan', 'tanggal', '17', 'agustus', '1945', 'bangsa', 'indonesia', 'terbebas', 'penguasaan', 'bangsa', 'asing', 'negara', 'ri', 'dibagibagi', 'negaranegara', 'daerahdaerah', 'otonom', 'satuan', 'kenegaraan', 'belanda', 'tujuan', 'memperkecil', 'wilayah', 'kekuasaan', 'ri', 'memicu', 'timbulnya', 'pertempuran', 'daerah', 'indonesia', 'contohnya', 'pertempuran', 'surabaya', 'pertempuran', 'disebabkan', 'belanda']","['bangsa', 'indonesia', 'hasil', 'capai', 'merdeka', 'tanggal', '17', 'agustus', '1945', 'bangsa', 'indonesia', 'bebas', 'kuasa', 'bangsa', 'asing', 'negara', 'ri', 'dibagibagi', 'negaranegara', 'daerahdaerah', 'otonom', 'satu', 'negara', 'belanda', 'tuju', 'kecil', 'wilayah', 'kuasa', 'ri', 'picu', 'timbul', 'tempur', 'daerah', 'indonesia', 'contoh', 'tempur', 'surabaya', 'tempur', 'sebab', 'belanda']"
Pada tanggal 6 Agustus 1945 terjadi pemboman Hiroshima. Keadaan ini membuat Jepang merasa harus segera merealisasikan janji kemerdekaan Jepang. Salah satu upaya tersebut adalah dengan didirikannya PPKI dan dibubarkannya BPUPKI pada tanggal 7 Agustus 1945. Latar belakang didirikannya PPKI adalah ,C4,pada tanggal 6 agustus 1945 terjadi pemboman hiroshima. keadaan ini membuat jepang merasa harus segera merealisasikan janji kemerdekaan jepang. salah satu upaya tersebut adalah dengan didirikannya ppki dan dibubarkannya bpupki pada tanggal 7 agustus 1945. latar belakang didirikannya ppki adalah ,"['pada', 'tanggal', '6', 'agustus', '1945', 'terjadi', 'pemboman', 'hiroshima', 'keadaan', 'ini', 'membuat', 'jepang', 'merasa', 'harus', 'segera', 'merealisasikan', 'janji', 'kemerdekaan', 'jepang', 'salah', 'satu', 'upaya', 'tersebut', 'adalah', 'dengan', 'didirikannya', 'ppki', 'dan', 'dibubarkannya', 'bpupki', 'pada', 'tanggal', '7', 'agustus', '1945', 'latar', 'belakang', 'didirikannya', 'ppki', 'adalah']",<FreqDist with 32 samples and 40 outcomes>,"['tanggal', '6', 'agustus', '1945', 'pemboman', 'hiroshima', 'jepang', 'merealisasikan', 'janji', 'kemerdekaan', 'jepang', 'salah', 'upaya', 'didirikannya', 'ppki', 'dibubarkannya', 'bpupki', 'tanggal', '7', 'agustus', '1945', 'latar', 'didirikannya', 'ppki']","['tanggal', '6', 'agustus', '1945', 'bom', 'hiroshima', 'jepang', 'realisasi', 'janji', 'merdeka', 'jepang', 'salah', 'upaya', 'diri', 'ppki', 'bubar', 'bpupki', 'tanggal', '7', 'agustus', '1945', 'latar', 'diri', 'ppki']"
Gerakan Pemerintah Revolusioner Rakyat Indonesia (PRRI) merupakan gerakan ingin memisahkan dari negara Indonesia merdeka. Munculnya gerakan tersebut disebabkan karena adanya,C4,gerakan pemerintah revolusioner rakyat indonesia (prri) merupakan gerakan ingin memisahkan dari negara indonesia merdeka. munculnya gerakan tersebut disebabkan karena adanya,"['gerakan', 'pemerintah', 'revolusioner', 'rakyat', 'indonesia', 'prri', 'merupakan', 'gerakan', 'ingin', 'memisahkan', 'dari', 'negara', 'indonesia', 'merdeka', 'munculnya', 'gerakan', 'tersebut', 'disebabkan', 'karena', 'adanya']",<FreqDist with 17 samples and 20 outcomes>,"['gerakan', 'pemerintah', 'revolusioner', 'rakyat', 'indonesia', 'prri', 'gerakan', 'memisahkan', 'negara', 'indonesia', 'merdeka', 'munculnya', 'gerakan', 'disebabkan']","['gera', 'perintah', 'revolusioner', 'rakyat', 'indonesia', 'prri', 'gera', 'pisah', 'negara', 'indonesia', 'merdeka', 'muncul', 'gera', 'sebab']"
Permasalahan golongan tua dan golongan muda yang melatarbelakangi terjadinya peristiwa Rengasdengklok adalah ,C4,permasalahan golongan tua dan golongan muda yang melatarbelakangi terjadinya peristiwa rengasdengklok adalah ,"['permasalahan', 'golongan', 'tua', 'dan', 'golongan', 'muda', 'yang', 'melatarbelakangi', 'terjadinya', 'peristiwa', 'rengasdengklok', 'adalah']",<FreqDist with 11 samples and 12 outcomes>,"['permasalahan', 'golongan', 'tua', 'golongan', 'muda', 'melatarbelakangi', 'peristiwa', 'rengasdengklok']","['masalah', 'golong', 'tua', 'golong', 'muda', 'melatarbelakangi', 'peristiwa', 'rengasdengklok']"
"Drs. Moh Hatta lahir pada tanggal 12 Agustus 1902 di daerah Bukittinggi, Sumatera Barat dan meninggal pada tanggal 14 Maret 1980 pada umurnya yang menginjak 77 tahun. Bung Hatta juga merupakan seseorang yang telah memperjuangkan kemerdekaan Indonesia dan merupakan wakil presiden pertama yang memimpin Indonesia Bersama Bung Karno. Bung Hatta memiliki peran yang besar juga dalam proklamasi kemerdekaan, yaitu ",C4,"drs. moh hatta lahir pada tanggal 12 agustus 1902 di daerah bukittinggi, sumatera barat dan meninggal pada tanggal 14 maret 1980 pada umurnya yang menginjak 77 tahun. bung hatta juga merupakan seseorang yang telah memperjuangkan kemerdekaan indonesia dan merupakan wakil presiden pertama yang memimpin indonesia bersama bung karno. bung hatta memiliki peran yang besar juga dalam proklamasi kemerdekaan, yaitu ","['drs', 'moh', 'hatta', 'lahir', 'pada', 'tanggal', '12', 'agustus', '1902', 'di', 'daerah', 'bukittinggi', 'sumatera', 'barat', 'dan', 'meninggal', 'pada', 'tanggal', '14', 'maret', '1980', 'pada', 'umurnya', 'yang', 'menginjak', '77', 'tahun', 'bung', 'hatta', 'juga', 'merupakan', 'seseorang', 'yang', 'telah', 'memperjuangkan', 'kemerdekaan', 'indonesia', 'dan', 'merupakan', 'wakil', 'presiden', 'pertama', 'yang', 'memimpin', 'indonesia', 'bersama', 'bung', 'karno', 'bung', 'hatta', 'memiliki', 'peran', 'yang', 'besar', 'juga', 'dalam', 'proklamasi', 'kemerdekaan', 'yaitu']",<FreqDist with 44 samples and 59 outcomes>,"['drs', 'moh', 'hatta', 'lahir', 'tanggal', '12', 'agustus', '1902', 'daerah', 'bukittinggi', 'sumatera', 'barat', 'meninggal', 'tanggal', '14', 'maret', '1980', 'umurnya', 'menginjak', '77', 'hatta', 'memperjuangkan', 'kemerdekaan', 'indonesia', 'wakil', 'presiden', 'memimpin', 'indonesia', 'karno', 'hatta', 'memiliki', 'peran', 'proklamasi', 'kemerdekaan']","['drs', 'moh', 'hatta', 'lahir', 'tanggal', '12', 'agustus', '1902', 'daerah', 'bukittinggi', 'sumatera', 'barat', 'tinggal', 'tanggal', '14', 'maret', '1980', 'umur', 'injak', '77', 'hatta', 'juang', 'merdeka', 'indonesia', 'wakil', 'presiden', 'pimpin', 'indonesia', 'karno', 'hatta', 'milik', 'peran', 'proklamasi', 'merdeka']"
Ahmad Soebardjo adalah salah satu tokoh penting dalam peristiwa Proklamasi. Peran Soebardjo dalam peritiwa Proklamasi adalah,C4,ahmad soebardjo adalah salah satu tokoh penting dalam peristiwa proklamasi. peran soebardjo dalam peritiwa proklamasi adalah,"['ahmad', 'soebardjo', 'adalah', 'salah', 'satu', 'tokoh', 'penting', 'dalam', 'peristiwa', 'proklamasi', 'peran', 'soebardjo', 'dalam', 'peritiwa', 'proklamasi', 'adalah']",<FreqDist with 12 samples and 16 outcomes>,"['ahmad', 'soebardjo', 'salah', 'tokoh', 'peristiwa', 'proklamasi', 'peran', 'soebardjo', 'peritiwa', 'proklamasi']","['ahmad', 'soebardjo', 'salah', 'tokoh', 'peristiwa', 'proklamasi', 'peran', 'soebardjo', 'peritiwa', 'proklamasi']"
"Indische Partij adalah organisasi pergerakan nasional yang didirikan oleh tiga tokoh yang dikenal dengan sebutan tiga serangkai, yaitu Douwes Dekker, Cipto Mangunkusumo, dan Suwardi Suryaningrat. Organisasi ini berdiri pada tahun 1912 dan organisasi ini bersifat politik. Indische Partij menunjukkan garis politik secara jelas dan tegas serta menginginkan suatu kesatuan penduduk yang multirasial. Hal ini disebabkan karena ",C4,"indische partij adalah organisasi pergerakan nasional yang didirikan oleh tiga tokoh yang dikenal dengan sebutan tiga serangkai, yaitu douwes dekker, cipto mangunkusumo, dan suwardi suryaningrat. organisasi ini berdiri pada tahun 1912 dan organisasi ini bersifat politik. indische partij menunjukkan garis politik secara jelas dan tegas serta menginginkan suatu kesatuan penduduk yang multirasial. hal ini disebabkan karena ","['indische', 'partij', 'adalah', 'organisasi', 'pergerakan', 'nasional', 'yang', 'didirikan', 'oleh', 'tiga', 'tokoh', 'yang', 'dikenal', 'dengan', 'sebutan', 'tiga', 'serangkai', 'yaitu', 'douwes', 'dekker', 'cipto', 'mangunkusumo', 'dan', 'suwardi', 'suryaningrat', 'organisasi', 'ini', 'berdiri', 'pada', 'tahun', '1912', 'dan', 'organisasi', 'ini', 'bersifat', 'politik', 'indische', 'partij', 'menunjukkan', 'garis', 'politik', 'secara', 'jelas', 'dan', 'tegas', 'serta', 'menginginkan', 'suatu', 'kesatuan', 'penduduk', 'yang', 'multirasial', 'hal', 'ini', 'disebabkan', 'karena']",<FreqDist with 44 samples and 56 outcomes>,"['indische', 'partij', 'organisasi', 'pergerakan', 'nasional', 'didirikan', 'tokoh', 'dikenal', 'sebutan', 'serangkai', 'douwes', 'dekker', 'cipto', 'mangunkusumo', 'suwardi', 'suryaningrat', 'organisasi', 'berdiri', '1912', 'organisasi', 'bersifat', 'politik', 'indische', 'partij', 'garis', 'politik', 'kesatuan', 'penduduk', 'multirasial', 'disebabkan']","['indische', 'partij', 'organisasi', 'gera', 'nasional', 'diri', 'tokoh', 'kenal', 'sebut', 'rangka', 'douwes', 'dekker', 'cipto', 'mangunkusumo', 'suwardi', 'suryaningrat', 'organisasi', 'diri', '1912', 'organisasi', 'sifat', 'politik', 'indische', 'partij', 'garis', 'politik', 'satu', 'duduk', 'multirasial', 'sebab']"
Rapat penyusunan teks proklamasi dilaksanakan di rumah Laksamana Maeda dengan pertimbangan ,C4,rapat penyusunan teks proklamasi dilaksanakan di rumah laksamana maeda dengan pertimbangan ,"['rapat', 'penyusunan', 'teks', 'proklamasi', 'dilaksanakan', 'di', 'rumah', 'laksamana', 'maeda', 'dengan', 'pertimbangan']",<FreqDist with 11 samples and 11 outcomes>,"['rapat', 'penyusunan', 'teks', 'proklamasi', 'dilaksanakan', 'rumah', 'laksamana', 'maeda', 'pertimbangan']","['rapat', 'susun', 'teks', 'proklamasi', 'laksana', 'rumah', 'laksamana', 'maeda', 'timbang']"
"Gerakan reformasi di Indonesia tahun 1998 merupakan gerakan untuk memperbaiki tatanan bermasyarakat, berbangsa dan bernegara sesuai dengan nilai-nilai Pancasila dan UUD 1945. Penyebab utama terjadinya gerakan ini adalah ",C5,"gerakan reformasi di indonesia tahun 1998 merupakan gerakan untuk memperbaiki tatanan bermasyarakat, berbangsa dan bernegara sesuai dengan nilai-nilai pancasila dan uud 1945. penyebab utama terjadinya gerakan ini adalah ","['gerakan', 'reformasi', 'di', 'indonesia', 'tahun', '1998', 'merupakan', 'gerakan', 'untuk', 'memperbaiki', 'tatanan', 'bermasyarakat', 'berbangsa', 'dan', 'bernegara', 'sesuai', 'dengan', 'nilainilai', 'pancasila', 'dan', 'uud', '1945', 'penyebab', 'utama', 'terjadinya', 'gerakan', 'ini', 'adalah']",<FreqDist with 25 samples and 28 outcomes>,"['gerakan', 'reformasi', 'indonesia', '1998', 'gerakan', 'memperbaiki', 'tatanan', 'bermasyarakat', 'berbangsa', 'bernegara', 'sesuai', 'nilainilai', 'pancasila', 'uud', '1945', 'penyebab', 'utama', 'gerakan']","['gera', 'reformasi', 'indonesia', '1998', 'gera', 'baik', 'tatanan', 'masyarakat', 'bangsa', 'negara', 'sesuai', 'nilainilai', 'pancasila', 'uud', '1945', 'sebab', 'utama', 'gera']"
Dampak negatif pemilihan kepala daerah secara langsung adalah ,C5,dampak negatif pemilihan kepala daerah secara langsung adalah ,"['dampak', 'negatif', 'pemilihan', 'kepala', 'daerah', 'secara', 'langsung', 'adalah']",<FreqDist with 8 samples and 8 outcomes>,"['dampak', 'negatif', 'pemilihan', 'kepala', 'daerah', 'langsung']","['dampak', 'negatif', 'pilih', 'kepala', 'daerah', 'langsung']"
"A.A. Maramis menyampaikan bahwa wakil-wakil umat Protestan dan Katolik yang berada dalam wilayah kekuasaan Angkatan Laut Jepang sangat berkeberatan dengan kalimat dalam Pembukaan Undang-Undang Dasar, yang berbunyi, “Ketuhanan dengan kewajiban menjalankan syariat Islam bagi pemeluk-pemeluknya”. Mereka sadar bahwa bagian kalimat itu tidak mengikat mereka, namun dengan mencantumkan ketetapan seperti itu dalam pembukaan dan dasar berdirinya suatu negara merupakan “diskriminasi” terhadap golongan minoritas. Dalam buku autobiografi Bung Hatta disebutkan bahwa jika “diskriminasi” itu ditetapkan juga, mereka lebih suka berdiri di luar Republik Indonesia. Bangsa Indonesia menyadari perihal kemajemukan rakyatnya. Akibat apa yang mungkin terjadi jika seorang memaksakan agamanya kepada orang lain yang telah beragama ",C6,"a.a. maramis menyampaikan bahwa wakil-wakil umat protestan dan katolik yang berada dalam wilayah kekuasaan angkatan laut jepang sangat berkeberatan dengan kalimat dalam pembukaan undang-undang dasar, yang berbunyi, “ketuhanan dengan kewajiban menjalankan syariat islam bagi pemeluk-pemeluknya”. mereka sadar bahwa bagian kalimat itu tidak mengikat mereka, namun dengan mencantumkan ketetapan seperti itu dalam pembukaan dan dasar berdirinya suatu negara merupakan “diskriminasi” terhadap golongan minoritas. dalam buku autobiografi bung hatta disebutkan bahwa jika “diskriminasi” itu ditetapkan juga, mereka lebih suka berdiri di luar republik indonesia. bangsa indonesia menyadari perihal kemajemukan rakyatnya. akibat apa yang mungkin terjadi jika seorang memaksakan agamanya kepada orang lain yang telah beragama ","['aa', 'maramis', 'menyampaikan', 'bahwa', 'wakilwakil', 'umat', 'protestan', 'dan', 'katolik', 'yang', 'berada', 'dalam', 'wilayah', 'kekuasaan', 'angkatan', 'laut', 'jepang', 'sangat', 'berkeberatan', 'dengan', 'kalimat', 'dalam', 'pembukaan', 'undangundang', 'dasar', 'yang', 'berbunyi', '“', 'ketuhanan', 'dengan', 'kewajiban', 'menjalankan', 'syariat', 'islam', 'bagi', 'pemelukpemeluknya', '”', 'mereka', 'sadar', 'bahwa', 'bagian', 'kalimat', 'itu', 'tidak', 'mengikat', 'mereka', 'namun', 'dengan', 'mencantumkan', 'ketetapan', 'seperti', 'itu', 'dalam', 'pembukaan', 'dan', 'dasar', 'berdirinya', 'suatu', 'negara', 'merupakan', '“', 'diskriminasi', '”', 'terhadap', 'golongan', 'minoritas', 'dalam', 'buku', 'autobiografi', 'bung', 'hatta', 'disebutkan', 'bahwa', 'jika', '“', 'diskriminasi', '”', 'itu', 'ditetapkan', 'juga', 'mereka', 'lebih', 'suka', 'berdiri', 'di', 'luar', 'republik', 'indonesia', 'bangsa', 'indonesia', 'menyadari', 'perihal', 'kemajemukan', 'rakyatnya', 'akibat', 'apa', 'yang', 'mungkin', 'terjadi', 'jika', 'seorang', 'memaksakan', 'agamanya', 'kepada', 'orang', 'lain', 'yang', 'telah', 'beragama']",<FreqDist with 84 samples and 109 outcomes>,"['aa', 'maramis', 'wakilwakil', 'umat', 'protestan', 'katolik', 'wilayah', 'kekuasaan', 'angkatan', 'laut', 'jepang', 'berkeberatan', 'kalimat', 'pembukaan', 'undangundang', 'dasar', 'berbunyi', '“', 'ketuhanan', 'kewajiban', 'menjalankan', 'syariat', 'islam', 'pemelukpemeluknya', '”', 'sadar', 'kalimat', 'mengikat', 'mencantumkan', 'ketetapan', 'pembukaan', 'dasar', 'berdirinya', 'negara', '“', 'diskriminasi', '”', 'golongan', 'minoritas', 'buku', 'autobiografi', 'hatta', '“', 'diskriminasi', '”', 'ditetapkan', 'suka', 'berdiri', 'republik', 'indonesia', 'bangsa', 'indonesia', 'menyadari', 'perihal', 'kemajemukan', 'rakyatnya', 'akibat', 'memaksakan', 'agamanya', 'orang', 'beragama']","['aa', 'maramis', 'wakilwakil', 'umat', 'protestan', 'katolik', 'wilayah', 'kuasa', 'angkat', 'laut', 'jepang', 'rat', 'kalimat', 'buka', 'undangundang', 'dasar', 'bunyi', '', 'tuhan', 'wajib', 'jalan', 'syariat', 'islam', 'pemelukpemeluknya', '', 'sadar', 'kalimat', 'ikat', 'cantum', 'tetap', 'buka', 'dasar', 'diri', 'negara', '', 'diskriminasi', '', 'golong', 'minoritas', 'buku', 'autobiografi', 'hatta', '', 'diskriminasi', '', 'tetap', 'suka', 'diri', 'republik', 'indonesia', 'bangsa', 'indonesia', 'sadar', 'perihal', 'majemuk', 'rakyat', 'akibat', 'paksa', 'agama', 'orang', 'agama']"
Faktor penting keinginan Jepang memperluas wilayah sampai ke Indonesia adalah,C5,faktor penting keinginan jepang memperluas wilayah sampai ke indonesia adalah,"['faktor', 'penting', 'keinginan', 'jepang', 'memperluas', 'wilayah', 'sampai', 'ke', 'indonesia', 'adalah']",<FreqDist with 10 samples and 10 outcomes>,"['faktor', 'jepang', 'memperluas', 'wilayah', 'indonesia']","['faktor', 'jepang', 'luas', 'wilayah', 'indonesia']"
Pada tanggal 6 Agustus 1945 terjadi pemboman Hiroshima. Keadaan ini membuat Jepang merasa harus segera merealisasikan janji kemerdekaan Jepang. Salah satu upaya tersebut adalah dengan didirikannya PPKI dan dibubarkannya BPUPKI pada tanggal 7 Agustus 1945. Latar belakang dibubarkannya BPUPKI adalah,C4,pada tanggal 6 agustus 1945 terjadi pemboman hiroshima. keadaan ini membuat jepang merasa harus segera merealisasikan janji kemerdekaan jepang. salah satu upaya tersebut adalah dengan didirikannya ppki dan dibubarkannya bpupki pada tanggal 7 agustus 1945. latar belakang dibubarkannya bpupki adalah,"['pada', 'tanggal', '6', 'agustus', '1945', 'terjadi', 'pemboman', 'hiroshima', 'keadaan', 'ini', 'membuat', 'jepang', 'merasa', 'harus', 'segera', 'merealisasikan', 'janji', 'kemerdekaan', 'jepang', 'salah', 'satu', 'upaya', 'tersebut', 'adalah', 'dengan', 'didirikannya', 'ppki', 'dan', 'dibubarkannya', 'bpupki', 'pada', 'tanggal', '7', 'agustus', '1945', 'latar', 'belakang', 'dibubarkannya', 'bpupki', 'adalah']",<FreqDist with 32 samples and 40 outcomes>,"['tanggal', '6', 'agustus', '1945', 'pemboman', 'hiroshima', 'jepang', 'merealisasikan', 'janji', 'kemerdekaan', 'jepang', 'salah', 'upaya', 'didirikannya', 'ppki', 'dibubarkannya', 'bpupki', 'tanggal', '7', 'agustus', '1945', 'latar', 'dibubarkannya', 'bpupki']","['tanggal', '6', 'agustus', '1945', 'bom', 'hiroshima', 'jepang', 'realisasi', 'janji', 'merdeka', 'jepang', 'salah', 'upaya', 'diri', 'ppki', 'bubar', 'bpupki', 'tanggal', '7', 'agustus', '1945', 'latar', 'bubar', 'bpupki']"
Faktor utama yang menyebabkan terjadinya peristiwa Rengasdengklok adalah ,C4,faktor utama yang menyebabkan terjadinya peristiwa rengasdengklok adalah ,"['faktor', 'utama', 'yang', 'menyebabkan', 'terjadinya', 'peristiwa', 'rengasdengklok', 'adalah']",<FreqDist with 8 samples and 8 outcomes>,"['faktor', 'utama', 'menyebabkan', 'peristiwa', 'rengasdengklok']","['faktor', 'utama', 'sebab', 'peristiwa', 'rengasdengklok']"
"Pada tanggal 16 Agustus 1945, Soekarno dan Hatta (Bersama Fatmawati dan Guntur) diculik para pemuda ke Rengasdengklok. Penculikan tersebut dilakukan untuk menghindarkan pengaruh Jepang atas Soekarno dan Hatta. Peran Soebardjo dalam peristiwa Rengasdengklok adalah",C4,"pada tanggal 16 agustus 1945, soekarno dan hatta (bersama fatmawati dan guntur) diculik para pemuda ke rengasdengklok. penculikan tersebut dilakukan untuk menghindarkan pengaruh jepang atas soekarno dan hatta. peran soebardjo dalam peristiwa rengasdengklok adalah","['pada', 'tanggal', '16', 'agustus', '1945', 'soekarno', 'dan', 'hatta', 'bersama', 'fatmawati', 'dan', 'guntur', 'diculik', 'para', 'pemuda', 'ke', 'rengasdengklok', 'penculikan', 'tersebut', 'dilakukan', 'untuk', 'menghindarkan', 'pengaruh', 'jepang', 'atas', 'soekarno', 'dan', 'hatta', 'peran', 'soebardjo', 'dalam', 'peristiwa', 'rengasdengklok', 'adalah']",<FreqDist with 29 samples and 34 outcomes>,"['tanggal', '16', 'agustus', '1945', 'soekarno', 'hatta', 'fatmawati', 'guntur', 'diculik', 'pemuda', 'rengasdengklok', 'penculikan', 'menghindarkan', 'pengaruh', 'jepang', 'soekarno', 'hatta', 'peran', 'soebardjo', 'peristiwa', 'rengasdengklok']","['tanggal', '16', 'agustus', '1945', 'soekarno', 'hatta', 'fatmawati', 'guntur', 'culik', 'pemuda', 'rengasdengklok', 'culi', 'hindar', 'pengaruh', 'jepang', 'soekarno', 'hatta', 'peran', 'soebardjo', 'peristiwa', 'rengasdengklok']"
"Sukarni merupakan salah satu Tokoh Proklamator Kemerdekaan Indonesia. Gelar Pahlawan Nasional Indonesia Sukarni disematkan kepada Joko Widodo pada tanggal 7 November 2014 kepada perwakilan keluarga di Istana Negara Jakarta. Sukarni memiliki peran yang besar juga dalam proklamasi kemerdekaan, yaitu",C4,"sukarni merupakan salah satu tokoh proklamator kemerdekaan indonesia. gelar pahlawan nasional indonesia sukarni disematkan kepada joko widodo pada tanggal 7 november 2014 kepada perwakilan keluarga di istana negara jakarta. sukarni memiliki peran yang besar juga dalam proklamasi kemerdekaan, yaitu","['sukarni', 'merupakan', 'salah', 'satu', 'tokoh', 'proklamator', 'kemerdekaan', 'indonesia', 'gelar', 'pahlawan', 'nasional', 'indonesia', 'sukarni', 'disematkan', 'kepada', 'joko', 'widodo', 'pada', 'tanggal', '7', 'november', '2014', 'kepada', 'perwakilan', 'keluarga', 'di', 'istana', 'negara', 'jakarta', 'sukarni', 'memiliki', 'peran', 'yang', 'besar', 'juga', 'dalam', 'proklamasi', 'kemerdekaan', 'yaitu']",<FreqDist with 34 samples and 39 outcomes>,"['sukarni', 'salah', 'tokoh', 'proklamator', 'kemerdekaan', 'indonesia', 'gelar', 'pahlawan', 'nasional', 'indonesia', 'sukarni', 'disematkan', 'joko', 'widodo', 'tanggal', '7', 'november', '2014', 'perwakilan', 'keluarga', 'istana', 'negara', 'jakarta', 'sukarni', 'memiliki', 'peran', 'proklamasi', 'kemerdekaan']","['sukarni', 'salah', 'tokoh', 'proklamator', 'merdeka', 'indonesia', 'gelar', 'pahlawan', 'nasional', 'indonesia', 'sukarni', 'semat', 'joko', 'widodo', 'tanggal', '7', 'november', '2014', 'wakil', 'keluarga', 'istana', 'negara', 'jakarta', 'sukarni', 'milik', 'peran', 'proklamasi', 'merdeka']"
"Strategi pemerintah agar tidak mengundang aksi militer dari negara lain maka pada awal merdeka pemerintah membentuk Badan Keamanan Rakyat (BKR). Pembentukan tentara dianggap akan memprovokasi negara lain dan akan menimbulkan permusuhan. Dalam perkembanganya pembentukan tentara dianggap perlu karena
",C5,"strategi pemerintah agar tidak mengundang aksi militer dari negara lain maka pada awal merdeka pemerintah membentuk badan keamanan rakyat (bkr). pembentukan tentara dianggap akan memprovokasi negara lain dan akan menimbulkan permusuhan. dalam perkembanganya pembentukan tentara dianggap perlu karena
","['strategi', 'pemerintah', 'agar', 'tidak', 'mengundang', 'aksi', 'militer', 'dari', 'negara', 'lain', 'maka', 'pada', 'awal', 'merdeka', 'pemerintah', 'membentuk', 'badan', 'keamanan', 'rakyat', 'bkr', 'pembentukan', 'tentara', 'dianggap', 'akan', 'memprovokasi', 'negara', 'lain', 'dan', 'akan', 'menimbulkan', 'permusuhan', 'dalam', 'perkembanganya', 'pembentukan', 'tentara', 'dianggap', 'perlu', 'karena']",<FreqDist with 31 samples and 38 outcomes>,"['strategi', 'pemerintah', 'mengundang', 'aksi', 'militer', 'negara', 'merdeka', 'pemerintah', 'membentuk', 'badan', 'keamanan', 'rakyat', 'bkr', 'pembentukan', 'tentara', 'dianggap', 'memprovokasi', 'negara', 'menimbulkan', 'permusuhan', 'perkembanganya', 'pembentukan', 'tentara', 'dianggap']","['strategi', 'perintah', 'undang', 'aksi', 'militer', 'negara', 'merdeka', 'perintah', 'bentuk', 'badan', 'aman', 'rakyat', 'bkr', 'bentuk', 'tentara', 'anggap', 'provokasi', 'negara', 'timbul', 'musuh', 'perkembanganya', 'bentuk', 'tentara', 'anggap']"
